,DATA,Temp mitja,Temp max,Temp min,Dif.Temp,Pressió atm mitja,Pressió atm. max,Pressió atm. min,Dif.Pressió,Humitat rel mitja,Humitat rel.max,Humitat rel. min,Dif.Hum,Irradiància solar mitja,Gruix neu mitja,Velocitat vent (10m) mitja,Direcció vent mitja,Ratxa max vent (10m),Direcció vent max mitja,Precipitació tot,Precipitació max 1min,Precipitació demà,Precipitació (bool),Precipitació demà(bool)
0,2009-01-01,2.2,9.7,-2.7,12.4,893.9,896.0,892.0,4.0,89.0,96.50655209452202,54.0,62.27110633727175,83.7,0.0,2.5555635003412536,150.65999770554313,4.4,198.6,0.0,0.07905927835051547,0.0,False,False
1,2009-01-02,1.7,6.8,-3.4,10.2,891.3,893.0,890.0,3.0,92.5,96.50655209452202,71.0,62.27110633727175,54.4,0.0,2.5555635003412536,150.65999770554313,3.8,168.2,0.0,0.07905927835051547,0.0,False,False
2,2009-01-03,-1.7,7.5,-7.6,15.1,889.4,891.0,887.0,4.0,80.0,96.50655209452202,22.0,62.27110633727175,113.8,0.0,2.5555635003412536,150.65999770554313,3.3,153.4,0.0,0.07905927835051547,0.0,False,False
3,2009-01-04,-2.3,8.9,-11.2,20.1,890.7,892.0,889.0,3.0,64.9,96.50655209452202,13.0,62.27110633727175,111.7,0.0,2.5555635003412536,150.65999770554313,9.2,148.4,0.0,0.07905927835051547,0.0,False,False
4,2009-01-05,-3.0,7.4,-10.7,18.1,887.4,891.0,884.0,7.0,62.5,96.50655209452202,12.0,62.27110633727175,129.2,0.0,2.5555635003412536,150.65999770554313,3.2,159.2,0.0,0.07905927835051547,8.0,False,True
5,2009-01-06,-4.9,-2.4,-8.2,5.8,883.3,885.0,881.0,4.0,86.5,96.50655209452202,67.0,62.27110633727175,17.9,32.5,2.5555635003412536,150.65999770554313,9.8,147.3,8.0,0.07905927835051547,0.0,True,False
6,2009-01-07,-8.4,-0.9,-15.4,14.5,884.2,887.0,883.0,4.0,72.2,96.50655209452202,37.0,62.27110633727175,127.9,43.2,2.5555635003412536,150.65999770554313,9.4,150.4,0.0,0.07905927835051547,0.0,False,False
7,2009-01-08,-8.0,-1.2,-16.0,14.8,889.5,893.0,886.0,7.0,75.2,96.50655209452202,50.0,62.27110633727175,112.1,32.9,2.5555635003412536,150.65999770554313,3.2,147.8,0.0,0.07905927835051547,0.1,False,True
8,2009-01-09,-3.4,0.9,-7.3,8.2,892.1,893.0,890.0,3.0,88.3,96.50655209452202,66.0,62.27110633727175,47.8,31.4,2.5555635003412536,150.65999770554313,4.3,161.6,0.1,0.07905927835051547,3.7,True,True
9,2009-01-10,-2.2,2.6,-6.5,9.1,895.3,901.0,892.0,9.0,97.2,96.50655209452202,84.0,62.27110633727175,50.0,48.0,2.5555635003412536,150.65999770554313,3.4,171.1,3.7,0.07905927835051547,0.1,True,True
10,2009-01-11,-5.3,4.1,-12.1,16.2,901.6,903.0,900.0,3.0,91.9,96.50655209452202,62.0,62.27110633727175,110.5,46.3,2.5555635003412536,150.65999770554313,4.5,163.2,0.1,0.07905927835051547,0.0,True,False
11,2009-01-12,-6.8,4.2,-14.3,18.5,900.0,902.0,897.0,5.0,82.0,96.50655209452202,32.0,62.27110633727175,109.6,42.9,2.5555635003412536,150.65999770554313,2.5,190.2,0.0,0.07905927835051547,0.0,False,False
12,2009-01-13,-6.0,0.9,-14.3,15.2,891.3,897.0,888.0,9.0,76.1,96.50655209452202,45.0,62.27110633727175,89.2,46.4,2.5555635003412536,150.65999770554313,7.4,167.8,0.0,0.07905927835051547,0.2,False,True
13,2009-01-14,-0.2,7.4,-8.8,16.2,889.9,892.0,889.0,3.0,60.3,96.50655209452202,21.0,62.27110633727175,117.8,46.7,2.5555635003412536,150.65999770554313,13.6,119.7,0.2,0.07905927835051547,0.0,True,False
14,2009-01-15,-4.2,6.8,-11.7,18.5,889.1,892.0,887.0,5.0,67.3,96.50655209452202,28.0,62.27110633727175,125.6,46.7,2.5555635003412536,150.65999770554313,3.3,161.3,0.0,0.07905927835051547,0.0,False,False
15,2009-01-16,-2.9,6.6,-9.3,15.9,894.4,896.0,892.0,4.0,76.2,96.50655209452202,45.0,62.27110633727175,125.0,46.1,2.5555635003412536,150.65999770554313,2.8,143.9,0.0,0.07905927835051547,0.0,False,False
16,2009-01-17,-0.7,9.3,-6.1,15.4,895.6,897.0,894.0,3.0,79.8,96.50655209452202,38.0,62.27110633727175,105.3,34.6,2.5555635003412536,150.65999770554313,4.6,177.3,0.0,0.07905927835051547,0.0,False,False
17,2009-01-18,-1.1,9.7,-9.0,18.7,892.5,895.0,890.0,5.0,78.7,96.50655209452202,32.0,62.27110633727175,115.9,15.7,2.5555635003412536,150.65999770554313,3.6,174.3,0.0,0.07905927835051547,2.5,False,True
18,2009-01-19,3.6,7.8,-2.3,10.1,882.0,891.0,874.0,17.0,93.2,96.50655209452202,77.0,62.27110633727175,46.6,8.4,2.5555635003412536,150.65999770554313,10.5,199.2,2.5,0.07905927835051547,1.7,True,True
19,2009-01-20,0.5,6.1,-6.9,13.0,875.3,880.0,873.0,7.0,86.7,96.50655209452202,47.0,62.27110633727175,106.0,5.0,2.5555635003412536,150.65999770554313,11.6,163.6,1.7,0.07905927835051547,0.2,True,True
20,2009-01-21,-3.1,5.3,-9.8,15.1,883.5,887.0,880.0,7.0,75.8,96.50655209452202,37.0,62.27110633727175,123.3,0.0,2.5555635003412536,150.65999770554313,8.5,136.5,0.2,0.07905927835051547,0.6,True,True
21,2009-01-22,-1.5,3.9,-6.9,10.8,882.9,887.0,879.0,8.0,82.9,96.50655209452202,53.0,62.27110633727175,106.4,0.0,2.5555635003412536,150.65999770554313,4.9,154.4,0.6,0.07905927835051547,5.8,True,True
